_fingerprint,duplicates_removed,records_kept,sample_review,sample_business,max_group_size,generic_sentiment_group
ممتاز,46,16,ممتاز,المستشفى الجوي التخصصي التجمع الخامس,62,True
جيد,41,14,جيد,مطعم شاشلك ( التجمع الخامس ) Shashlik Turkish Anatolian Grill Restaurant,55,True
جميل,23,8,جميل,صاحب السعاده فرع التجمع,31,True
good,21,7,good,CAF Cafe - 5A,28,True
رائع,19,7,رائع,نيو جاردن بالاس هوتيل,26,True
حلو,17,6,حلو,مطعم ماي كوين,23,True
ممتاز جدا,16,6,ممتاز جدا,عيادات تمازج التخصصية ومركز تمازج الجراحي ومختبر تمازج الطبي,22,True
جيد جدا,15,6,جيد جدا,The Best Restaurant,21,True
very good,12,4,Very good,مستشفى كليوباترا,16,True
كويس,12,4,كويس,كبابجى صلى على النبى,16,True
جميل جدا,11,4,جميل جدا,مطعم وكافيه نعومي,15,True
تمام,9,4,تمام,Careem,13,True
خدمه ممتازه,11,1,خدمه ممتازه,بارك مول,12,False
ممتازة,9,3,ممتازة,صيدلية فايق,12,True
شكرا,9,1,شكرا,صيدليات دوس,10,False
excellent,7,3,Excellent,Samakmak Restaurant - 6th of October Branch,10,True
جامد,7,3,جامد,سمارت جيم,10,True
ممتازه,7,3,ممتازه,Uber,10,True
