_fingerprint,duplicates_removed,records_kept,sample_review,sample_business,max_group_size,generic_sentiment_group
ممتاز,37,25,ممتاز,مطعم سيتي كريب الشيخ زايد_City Crepe,62,True
جيد,33,22,جيد,مطعم فرح,55,True
جميل,18,13,جميل,H2O Gym & Spa,31,True
good,16,12,Good,Platinum Clinics,28,True
رائع,15,11,رائع,مطعم الدمياطي فول وفلافل,26,True
حلو,13,10,حلو,Beesho Supermarket,23,True
ممتاز جدا,13,9,ممتاز جدا,مستشفي المركز الطبي الإنجيلي بالقاهرة,22,True
جيد جدا,12,9,جيد جدا,Careem,21,True
very good,9,7,Very good,حاتى أبو خالد,16,True
كويس,9,7,كويس,مطعم مشويات,16,True
جميل جدا,9,6,جميل جدا,Elmenus,15,True
تمام,7,6,تمام,Jumia,13,True
خدمه ممتازه,11,1,خدمه ممتازه,بارك مول,12,False
ممتازة,7,5,ممتازة,Uber,12,True
شكرا,9,1,شكرا,صيدليات دوس,10,False
excellent,6,4,Excellent,مشويات سخسخ,10,True
جامد,6,4,جامد,ابوظريفة فول وطعمية,10,True
ممتازه,6,4,ممتازه,Uber,10,True
